Month DD Raised,No. of FTE Request Raised,SkillList,Location,Experience Grade,Practice,Skill Group,Demand Source
August,4,"J2EE,Spring,Hibernate,Agile",Gurgaon,B1,INS,(T) Client Server Development Technologies,Account
January,1,"J2EE,Spring,Hibernate,Agile",Chennai,A1,DCX,(F) Business Consulting,Proactive
August,1,"J2EE,Spring,Hibernate,Agile",Gurgaon,B1,INS,(T) Java Development Technologies,Proactive
March,1,"J2EE,Spring,Hibernate,Agile",Pune,A3,TEST,(T) Data Science and Analytics,Proactive
June,1,"J2EE,Spring,Hibernate,Agile",Noida,A5,I&D,(D) Banking Sector,Account
February,2,"J2EE,Spring,Hibernate,Agile",Hyderabad,A2,CFS,(F) Finance / Treasury / Cash / Consolidation,Proactive
February,3,"J2EE,Spring,Hibernate,Agile",Hyderabad,A2,CFS,(T) Card packages,Proactive
August,2,"J2EE,Spring,Hibernate,Agile",Gurgaon,B1,GP,(D) Banking Sector,Proactive
December,3,"J2EE,Spring,Hibernate,Agile",Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Proactive
December,1,"J2EE,Spring,Hibernate,Agile",Hartford,C1,ERP,(T) Configuration Management & Versioning Tools,Proactive
August,1,"J2EE,Spring,Hibernate,Agile",Gurgaon,B1,GP,(T) Java Development Technologies,Account
May,3,"J2EE,Spring,Hibernate,Agile",Bangalore,A4,BANK,(T) Java Development Technologies,Proactive
June,2,"Performance Testing,BatchSupport,System Management Application",Noida,A5,ADM,(T) Web Development Technologies,Proactive
March,2,"Performance Testing,BatchSupport,System Management Application",Pune,A3,TEST,(D) Capital Markets Sector,Proactive
March,4,"Performance Testing,System Management Application,BatchSupport",Pune,A3,TEST,(T) BigData,Proactive
March,2,"Performance Testing,BatchSupport,System Management Application",Pune,A3,TEST,(T) Card packages,Proactive
December,4,"Java,PL SQL,Cloud,Dynamics CRM 2011,JMX",Hartford,C1,ERP,(T) Operating systems and Virtualization Technologies,Proactive
March,1,Java,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
March,3,"Java,Selenium,Cucumber, Behat,C#,CSS,Test Automation",Pune,A3,TEST,,Proactive
March,4,"Java,Selenium,Cucumber, Behat,C#,CSS,Test Automation",Pune,A3,TEST,(T) Enterprise Content Management (ECM),Support
October,1,"Java,Test Automation,C#,Selenium,Cucumber, Behat",Bhubaneswar,B2,M&FT,(T) Card packages,Account
June,1,"Java,Test Automation,C#,Selenium,Cucumber, Behat",Noida,A5,I&D,(T) Operating systems and Virtualization Technologies,Account
August,2,"Java,Test Automation,C#,Cucumber, Behat,Selenium",Gurgaon,B1,GP,(T) Mainframe Development Technologies,Proactive
August,3,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Gurgaon,B1,INS,(T) Card packages,Account
August,3,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Gurgaon,B1,INS,(F) Sales / CRM / Marketing / Offer/ Client Management / Customer Experience,Proactive
January,2,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Chennai,A1,DCX,(F) Business Management / Management / Executive Management,Account
January,2,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Chennai,A1,DCX,(T) Mainframe Development Technologies,Proactive
August,4,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Gurgaon,B1,GP,(T) Mainframe Development Technologies,Account
August,3,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Gurgaon,B1,INS,(D) Insurance Sector,Proactive
October,2,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Bhubaneswar,B2,M&FT,"(T) Project Tools, Methodologies and Frameworks",Proactive
May,4,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Bangalore,A4,BANK,(F) IT Operations,Account
June,4,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Noida,A5,ADM,(D) Banking Sector,Proactive
October,1,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Bhubaneswar,B2,Cards,(T) Enterprise Service Bus (ESB),Proactive
October,3,"Java,Selenium,Test Automation,C#,Cucumber, Behat",Bhubaneswar,B2,M&FT,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
October,3,"Java,Test Automation,Cucumber, Behat,C#,Selenium",Bhubaneswar,B2,M&FT,(T) Card packages,Proactive
August,1,Project Management Framework,Gurgaon,B1,INS,(T) Enterprise Content Management (ECM),Proactive
February,4,"Testing Manual,Cards Acquiring",Hyderabad,A2,CFS,(T) Card packages,Proactive
October,2,"Selenium,Test Automation,Cucumber, Behat,Java 7",Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Proactive
June,3,"Test Automation,Cucumber, Behat,Java 7,Selenium",Noida,A5,I&D,(T) Card packages,Account
August,3,"Selenium,Test Automation,Cucumber, Behat,Java 7",Gurgaon,B1,GP,(D) Banking Sector,Proactive
October,1,"Selenium,Test Automation,Cucumber, Behat,Java 7",Bhubaneswar,B2,Cards,(T) Enterprise Content Management (ECM),Proactive
August,4,"Selenium,Test Automation,Cucumber, Behat,Java 7",Gurgaon,B1,GP,(F) IT Operations,Proactive
March,2,"Selenium,Test Automation,Cucumber, Behat,Java 7",Pune,A3,TEST,(T) Reporting/Business Intelligence,Proactive
October,4,"Selenium,Test Automation,Cucumber, Behat,Java 7",Bhubaneswar,B2,Cards,(T) Mainframe Development Technologies,Support
August,1,"Selenium,Test Automation,Cucumber, Behat,Java 7",Gurgaon,B1,INS,(T) Java Development Technologies,Proactive
January,4,"Selenium,Test Automation,Cucumber, Behat,Java 7",Chennai,A1,DCX,(T) Guidewire,Account
October,3,"Selenium,Test Automation,Cucumber, Behat,Java 7",Bhubaneswar,B2,Cards,"(T) Project Tools, Methodologies and Frameworks",Account
October,3,"Selenium,Test Automation,Cucumber, Behat,Java 7",Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Account
January,3,"Selenium,Test Automation,Cucumber, Behat,Java 7",Chennai,A1,DCX,(D) Banking Sector,Account
October,2,"Selenium,Test Automation,Cucumber, Behat,Java 7",Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Account
June,1,"Selenium,Test Automation,Cucumber, Behat,Java 7",Noida,A5,ADM,(T) Reporting/Business Intelligence,Account
August,2,"Selenium,Test Automation,Cucumber, Behat,Java 7",Gurgaon,B1,GP,(T) Data Integration,Account
October,1,"Java,Cucumber, Behat,Jenkins,Cards Acquiring,Functional Testing,Selenium",Bhubaneswar,B2,Cards,(D) Banking Sector,Account
June,2,"Java,Cucumber, Behat,Jenkins,Cards Acquiring,Selenium,Functional Testing",Noida,A5,I&D,(T) Testing Tools / Testing Automation / Performance Testing Tools,Account
August,1,"Java,Cucumber, Behat,Jenkins,Cards Acquiring,Functional Testing,Selenium",Gurgaon,B1,INS,(T) Mainframe Development Technologies,Account
August,3,"Java,Cucumber, Behat,Jenkins,Cards Acquiring,Functional Testing,Selenium",Gurgaon,B1,INS,(F) IT Operations,Proactive
February,1,"Java,Cucumber, Behat,Jenkins,Cards Acquiring,Functional Testing,Selenium",Hyderabad,A2,CFS,"(T) Project Tools, Methodologies and Frameworks",Proactive
August,3,"Java,Cucumber, Behat,Jenkins,Cards Acquiring,Functional Testing,Selenium",Gurgaon,B1,INS,(T) Enterprise Content Management (ECM),Account
October,2,"Java,Cucumber, Behat,Jenkins,Cards Acquiring,Functional Testing,Selenium",Bhubaneswar,B2,M&FT,(T) Java Development Technologies,Proactive
October,2,"Selenium,Test Automation,Cucumber, Behat,Java 7",Bhubaneswar,B2,M&FT,(D) Banking Sector,Support
August,2,"Java,Selenium,Cucumber, Behat",Gurgaon,B1,GP,(D) Banking Sector,Account
February,2,"Business Analytics,BLUE PRISM",Hyderabad,A2,CFS,(T) Enterprise Content Management (ECM),Proactive
January,1,"Business Analytics,BLUE PRISM",Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Proactive
February,1,Test Automation,Hyderabad,A2,CFS,,Proactive
August,3,Java,Gurgaon,B1,GP,,Proactive
August,4,Oracle 9i,Gurgaon,B1,INS,(T) Mainframe Development Technologies,Proactive
August,1,Oracle 9i,Gurgaon,B1,GP,(T) Mainframe Development Technologies,Proactive
June,3,Java,Noida,A5,I&D,(T) Enterprise Content Management (ECM),Proactive
June,4,Java,Noida,A5,ADM,(D) Banking Sector,Account
February,2,Java,Hyderabad,A2,CFS,(D) Banking Sector,Proactive
January,3,Java,Chennai,A1,DCX,(T) Operating systems and Virtualization Technologies,Proactive
October,2,Java,Bhubaneswar,B2,Cards,(D) Banking Sector,Proactive
January,4,Java,Chennai,A1,DCX,(D) Banking Sector,Proactive
October,4,Java,Bhubaneswar,B2,M&FT,(D) Capital Markets Sector,Proactive
August,1,Java,Gurgaon,B1,GP,(T) Enterprise Content Management (ECM),Proactive
June,4,PMO (Project),Noida,A5,I&D,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
May,2,PMO (Project),Bangalore,A4,BANK,(D) Insurance Sector,Account
May,1,PMO (Project),Bangalore,A4,BANK,(T) Guidewire,Account
October,2,Teradata,Bhubaneswar,B2,Cards,(T) Relational Databases,Account
October,2,Teradata,Bhubaneswar,B2,M&FT,(T) Java Development Technologies,Account
March,1,QlikView,Pune,A3,TEST,(T) Card packages,Account
June,4,Power Designer Data Architect,Noida,A5,ADM,(D) Banking Sector,Support
May,3,Java,Bangalore,A4,BANK,(T) Card packages,Proactive
February,1,PMO (Account),Hyderabad,A2,CFS,(T) Guidewire,Proactive
October,2,Java,Bhubaneswar,B2,M&FT,(T) Java Development Technologies,Account
August,3,Selenium,Gurgaon,B1,INS,(T) Java Development Technologies,Proactive
October,4,Selenium,Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Proactive
June,2,Informatica BI,Noida,A5,I&D,(T) Enterprise Content Management (ECM),Account
May,2,REST API,Bangalore,A4,BANK,(F) IT Operations,Proactive
December,2,"API Integrations- REST, SOAP , Powershell",Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Proactive
June,3,"Automation - Chef, Puppet",Noida,A5,ADM,(T) Microsoft Development Technologies,Proactive
January,2,"API Integrations- REST, SOAP , Powershell",Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Account
August,1,"API Integrations- REST, SOAP , Powershell",Gurgaon,B1,INS,(D) Banking Sector,Account
May,1,"API Integrations- REST, SOAP , Powershell",Bangalore,A4,BANK,(T) Enterprise Service Bus (ESB),Account
December,3,"API Integrations- REST, SOAP , Powershell",Hartford,C1,ERP,(D) Banking Sector,Account
December,1,"API Integrations- REST, SOAP , Powershell",Hartford,C1,ERP,(T) Java Development Technologies,Account
December,3,"API Integrations- REST, SOAP , Powershell",Hartford,C1,ERP,(D) Banking Sector,Proactive
February,3,Java,Hyderabad,A2,CFS,(T) Mainframe Development Technologies,Proactive
January,2,Testing Manual,Chennai,A1,DCX,(T) Microsoft Development Technologies,Proactive
March,4,Testing Manual,Pune,A3,TEST,(D) Banking Sector,Proactive
October,3,Testing Manual,Bhubaneswar,B2,M&FT,(T) Relational Databases,Proactive
August,2,Java,Gurgaon,B1,INS,(T) Enterprise Content Management (ECM),Proactive
August,3,BPM,Gurgaon,B1,INS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
October,1,Java Web,Bhubaneswar,B2,Cards,"(T) Project Tools, Methodologies and Frameworks",Proactive
March,3,Decision Strategy Manager,Pune,A3,TEST,"(T) Project Tools, Methodologies and Frameworks",Proactive
June,2,J2EE,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
October,2,"(T) Testing Tools / Testing Automation / Performance Testing Tools,Java",Bhubaneswar,B2,Cards,(T) Client Server Development Technologies,Account
June,3,"(T) Testing Tools / Testing Automation / Performance Testing Tools,Java",Noida,A5,I&D,(T) Enterprise Content Management (ECM),Proactive
March,1,PYTHON,Pune,A3,TEST,(F) IT Operations,Proactive
March,4,Testing Manual,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Support
June,3,C# .NET,Noida,A5,I&D,(D) Banking Sector,Support
June,1,C# .NET,Noida,A5,ADM,(D) Cards,Support
December,4,Axiom,Hartford,C1,ERP,(T) Web Development Technologies,Support
August,3,Axiom,Gurgaon,B1,GP,(T) Data Integration,Support
February,4,Axiom,Hyderabad,A2,CFS,(D) Capital Markets Sector,Proactive
January,4,Java,Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Proactive
December,3,Java,Hartford,C1,ERP,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
May,3,Java,Bangalore,A4,BANK,(D) Banking Sector,Account
August,1,Oracle Database UNIX Scripting,Gurgaon,B1,INS,(T) Mainframe Development Technologies,Account
June,1,Java,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Account
February,4,Java,Hyderabad,A2,CFS,(T) Enterprise Content Management (ECM),Proactive
August,4,Java,Gurgaon,B1,INS,(D) Cards,Proactive
February,4,Ab Initio,Hyderabad,A2,CFS,(D) Banking Sector,Proactive
June,4,Ab Initio,Noida,A5,I&D,(T) Enterprise Content Management (ECM),Proactive
February,4,SAS,Hyderabad,A2,CFS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Account
October,3,SAS,Bhubaneswar,B2,Cards,(D) Banking Sector,Proactive
August,2,SAS,Gurgaon,B1,INS,(T) Card packages,Proactive
August,3,PMO (Account),Gurgaon,B1,INS,(T) Enterprise Content Management (ECM),Proactive
October,2,Informatica BI,Bhubaneswar,B2,Cards,(T) Client Server Development Technologies,Proactive
June,4,Informatica BI,Noida,A5,ADM,"(T) Workflow,  Business process management and Case management",Proactive
June,3,"API Integrations- REST, SOAP , Powershell",Noida,A5,I&D,(T) Mainframe Development Technologies,Proactive
October,1,"API Integrations- REST, SOAP , Powershell",Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Account
October,4,"API Integrations- REST, SOAP , Powershell",Bhubaneswar,B2,Cards,(D) Capital Markets Sector,Proactive
January,1,"API Integrations- REST, SOAP , Powershell",Chennai,A1,DCX,(T) Card packages,Support
January,2,"API Integrations- REST, SOAP , Powershell",Chennai,A1,DCX,(T) Java Development Technologies,Proactive
December,1,Decision Strategy Manager,Hartford,C1,ERP,(T) Java Development Technologies,Proactive
August,4,"SAS,Decision Strategy Manager",Gurgaon,B1,INS,(T) Java Development Technologies,Proactive
March,1,Java,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
March,3,Test Automation,Pune,A3,TEST,(T) Card packages,Proactive
June,1,SAS,Noida,A5,I&D,(D) Capital Markets Sector,Support
March,2,Testing Manual,Pune,A3,TEST,(T) Relational Databases,Proactive
August,4,Testing Manual,Gurgaon,B1,GP,(T) Java Development Technologies,Proactive
June,2,Testing Manual,Noida,A5,I&D,(D) Banking Sector,Account
March,4,Testing Manual,Pune,A3,TEST,(D) Insurance Sector,Proactive
March,2,Java,Pune,A3,TEST,(D) Insurance Sector,Proactive
January,4,Java,Chennai,A1,DCX,(D) Banking Sector,Account
May,2,Java,Bangalore,A4,BANK,(T) Testing Tools / Testing Automation / Performance Testing Tools,Support
December,2,Java,Hartford,C1,ERP,(T) Monitoring Technologies,Proactive
August,1,"Java-Production Support,Java",Gurgaon,B1,GP,(T) Microsoft Development Technologies,Proactive
March,1,"SQL,SAS",Pune,A3,TEST,(T) Microsoft Development Technologies,Account
March,2,Java,Pune,A3,TEST,(T) Web Development Technologies,Proactive
December,1,SAS,Hartford,C1,ERP,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
October,2,SAS,Bhubaneswar,B2,Cards,(T) Mainframe Development Technologies,Proactive
December,1,SAS,Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Proactive
March,4,"Testing Manual,Cards Acquiring",Pune,A3,TEST,(T) Guidewire,Proactive
March,1,Cards Acquiring,Pune,A3,TEST,"(T) Project Tools, Methodologies and Frameworks",Proactive
August,3,BPM,Gurgaon,B1,INS,(T) Mainframe Development Technologies,Proactive
March,2,BPM,Pune,A3,TEST,(T) Mainframe Development Technologies,Account
June,3,BPM,Noida,A5,ADM,(T) Guidewire,Account
October,3,BPM,Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Proactive
March,2,BPM,Pune,A3,TEST,(T) Mainframe Development Technologies,Proactive
February,3,"Cards Acquiring,Testing Manual",Hyderabad,A2,CFS,(T) Java Development Technologies,Proactive
October,3,"Cards Acquiring,Testing Manual",Bhubaneswar,B2,Cards,(F) IT Operations,Proactive
May,2,"Cards Acquiring,Testing Manual",Bangalore,A4,BANK,(T) Monitoring Technologies,Proactive
June,4,Informatica BI,Noida,A5,I&D,(T) Enterprise Content Management (ECM),Proactive
February,1,Informatica BI,Hyderabad,A2,CFS,(T) Microsoft Development Technologies,Proactive
August,2,Informatica BI,Gurgaon,B1,GP,(T) Enterprise Content Management (ECM),Proactive
January,1,Informatica BI,Chennai,A1,DCX,(F) IT Consulting,Proactive
August,1,Informatica BI,Gurgaon,B1,INS,"(T) Workflow,  Business process management and Case management",Account
December,1,Informatica BI,Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Support
August,1,Informatica BI,Gurgaon,B1,GP,(T) Mainframe Development Technologies,Proactive
February,4,Informatica BI,Hyderabad,A2,CFS,(F) IT Operations,Proactive
January,4,Informatica BI,Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Proactive
February,2,Java,Hyderabad,A2,CFS,(T) Configuration Management & Versioning Tools,Proactive
March,3,Java,Pune,A3,TEST,(T) Microsoft Development Technologies,Account
August,4,Java,Gurgaon,B1,GP,(D) Capital Markets Sector,Proactive
December,4,Java,Hartford,C1,ERP,(D) Banking Sector,Proactive
January,1,Java,Chennai,A1,DCX,(D) Banking Sector,Account
June,1,Java,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
June,4,UI,Noida,A5,ADM,(T) Microsoft Development Technologies,Proactive
May,2,UI,Bangalore,A4,BANK,(T) Mainframe Development Technologies,Proactive
December,1,UI,Hartford,C1,ERP,(T) Capital market packages,Account
February,3,C# .NET,Hyderabad,A2,CFS,(T) Enterprise Content Management (ECM),Proactive
May,2,Test Automation,Bangalore,A4,BANK,,Proactive
March,3,Oracle data quality,Pune,A3,TEST,(D) Capital Markets Sector,Proactive
October,3,C# .NET,Bhubaneswar,B2,M&FT,(T) Java Development Technologies,Account
August,1,Testing Manual,Gurgaon,B1,INS,(D) Banking Sector,Proactive
December,4,Teradata,Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Proactive
June,4,Teradata,Noida,A5,ADM,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
January,1,Teradata,Chennai,A1,DCX,(F) IT Consulting,Proactive
March,4,Informatica BI,Pune,A3,TEST,(T) Mainframe Development Technologies,Proactive
October,1,Ab Initio,Bhubaneswar,B2,Cards,(T) Enterprise Content Management (ECM),Proactive
October,2,Ab Initio,Bhubaneswar,B2,M&FT,"(T) Project Tools, Methodologies and Frameworks",Account
January,4,Ab Initio,Chennai,A1,DCX,(T) Web Development Technologies,Account
October,1,Ab Initio,Bhubaneswar,B2,Cards,"(T) Project Tools, Methodologies and Frameworks",Account
June,4,Ab Initio,Noida,A5,ADM,(D) Banking Sector,Account
January,3,Ab Initio,Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Account
December,3,Ab Initio,Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Account
February,2,Ab Initio,Hyderabad,A2,CFS,(F) IT Operations,Support
March,3,Ab Initio,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
March,4,Ab Initio,Pune,A3,TEST,(T) Mainframe Development Technologies,Proactive
January,1,Ab Initio,Chennai,A1,DCX,(D) Banking Sector,Proactive
October,3,Ab Initio,Bhubaneswar,B2,M&FT,(T) Java Development Technologies,Proactive
August,3,Ab Initio,Gurgaon,B1,INS,(D) Cards,Proactive
May,1,Ab Initio,Bangalore,A4,BANK,(T) Mainframe Development Technologies,Proactive
October,1,Ab Initio,Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Account
June,4,Ab Initio,Noida,A5,ADM,(T) Card packages,Account
October,1,Ab Initio,Bhubaneswar,B2,M&FT,(T) Microsoft Development Technologies,Proactive
October,1,J2EE,Bhubaneswar,B2,Cards,(D) Banking Sector,Support
March,2,Test Automation,Pune,A3,TEST,(T) Microsoft Development Technologies,Proactive
August,3,Cards Acquiring,Gurgaon,B1,INS,(T) Mainframe Development Technologies,Proactive
March,4,Cards Acquiring,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
December,3,"Mainframe applications,VSAM,JCL,TRAMS,COBOL",Hartford,C1,ERP,(T) Java Development Technologies,Support
May,2,"Mainframe applications,COBOL,VSAM,TRAMS,JCL",Bangalore,A4,BANK,(T) Operating systems and Virtualization Technologies,Account
May,2,"Java,API Integrations- REST, SOAP , Powershell",Bangalore,A4,BANK,(T) Enterprise Content Management (ECM),Proactive
June,4,"Java,API Integrations- REST, SOAP , Powershell",Noida,A5,I&D,(T) Client Server Development Technologies,Proactive
August,1,"Java,API Integrations- REST, SOAP , Powershell",Gurgaon,B1,INS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
December,2,"Java,API Integrations- REST, SOAP , Powershell",Hartford,C1,ERP,(T) Reporting/Business Intelligence,Account
June,3,"Java,API Integrations- REST, SOAP , Powershell",Noida,A5,ADM,(T) Reporting/Business Intelligence,Account
February,2,"Java,API Integrations- REST, SOAP , Powershell",Hyderabad,A2,CFS,(T) Data Integration,Account
October,1,"Java,API Integrations- REST, SOAP , Powershell",Bhubaneswar,B2,M&FT,(D) Banking Sector,Account
October,2,"Java,API Integrations- REST, SOAP , Powershell",Bhubaneswar,B2,Cards,,Account
December,2,"Java,API Integrations- REST, SOAP , Powershell",Hartford,C1,ERP,(T) Data Integration,Account
August,4,Java,Gurgaon,B1,INS,"(T) Project Tools, Methodologies and Frameworks",Account
August,3,Java,Gurgaon,B1,INS,(T) Card packages,Proactive
March,2,Java,Pune,A3,TEST,(T) Java Development Technologies,Proactive
June,2,Java,Noida,A5,ADM,(T) Card packages,Support
June,2,Java,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
May,1,Java,Bangalore,A4,BANK,(T) Data Governance / Master Data Management (MDM),Account
December,3,Java,Hartford,C1,ERP,(T) Java Development Technologies,Proactive
October,2,Java,Bhubaneswar,B2,M&FT,(T) Guidewire,Proactive
March,2,"Java,Cloud,Webservices",Pune,A3,TEST,(T) Reporting/Business Intelligence,Proactive
December,3,"Java,J2EE,Cloud",Hartford,C1,ERP,"(T) Workflow,  Business process management and Case management",Proactive
June,4,"Java,J2EE,Cloud",Noida,A5,I&D,(T) Web Development Technologies,Proactive
October,2,"Java,J2EE,Cloud",Bhubaneswar,B2,Cards,(T) Reporting/Business Intelligence,Proactive
August,1,"Java,J2EE,Cloud",Gurgaon,B1,GP,(T) Enterprise Content Management (ECM),Proactive
August,2,"Java,J2EE,Cloud",Gurgaon,B1,GP,(T) Java Development Technologies,Proactive
August,2,"Java,J2EE,Cloud",Gurgaon,B1,INS,(T) Card packages,Proactive
January,2,"Java,J2EE,Cloud",Chennai,A1,DCX,(T) Web Development Technologies,Account
March,3,"Java,J2EE,Cloud",Pune,A3,TEST,(T) Enterprise Content Management (ECM),Account
February,2,"Java,J2EE,Cloud",Hyderabad,A2,CFS,(D) Financial Services,Account
February,1,"Java,J2EE,Cloud",Hyderabad,A2,CFS,(T) Java Development Technologies,Account
December,4,"Java,J2EE,Cloud",Hartford,C1,ERP,(T) Mainframe Development Technologies,Account
December,2,"Java,J2EE,Cloud",Hartford,C1,ERP,(D) Financial Services,Account
June,4,"Java,J2EE,Cloud",Noida,A5,ADM,(T) Mainframe Development Technologies,Account
October,3,"Java,J2EE,Cloud",Bhubaneswar,B2,Cards,(T) Mainframe Development Technologies,Proactive
October,3,"Java,J2EE,Cloud",Bhubaneswar,B2,Cards,(T) Embedded Realtime Systems,Proactive
August,1,.Net (WF),Gurgaon,B1,INS,(T) Microsoft Development Technologies,Proactive
August,4,.Net (WF),Gurgaon,B1,INS,(T) Web Development Technologies,Proactive
December,2,.Net (WF),Hartford,C1,ERP,"(T) Project Tools, Methodologies and Frameworks",Proactive
March,1,.Net (WF),Pune,A3,TEST,(T) Java Development Technologies,Proactive
June,1,.Net (WF),Noida,A5,ADM,(D) Cards,Proactive
February,4,.Net (WF),Hyderabad,A2,CFS,(T) Reporting/Business Intelligence,Support
June,2,"Business Analytics,Cards Issuing",Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
August,2,"Business Analytics,Cards Issuing",Gurgaon,B1,INS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Account
March,1,"Business Analytics,Cards Issuing",Pune,A3,TEST,(D) Capital Markets Sector,Proactive
October,3,"Business Analytics,Cards Issuing",Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Account
February,2,"Business Analytics,Cards Issuing",Hyderabad,A2,CFS,(T) Office / Desktop Solutions,Proactive
August,1,"Business Analytics,Cards Issuing",Gurgaon,B1,GP,"(T) Project Tools, Methodologies and Frameworks",Proactive
March,4,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Reporting/Business Intelligence,Support
December,1,"Business Analytics,Cards Issuing",Hartford,C1,ERP,(D) Banking Sector,Proactive
January,4,"Business Analytics,Cards Issuing",Chennai,A1,DCX,(T) Data Integration,Proactive
January,3,"Business Analytics,Cards Issuing",Chennai,A1,DCX,(T) Mainframe Development Technologies,Account
December,2,"Business Analytics,Cards Issuing",Hartford,C1,ERP,(T) Mainframe Development Technologies,Proactive
August,2,"Business Analytics,Cards Issuing",Gurgaon,B1,INS,(T) Mainframe Development Technologies,Proactive
March,3,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Mainframe Development Technologies,Proactive
August,2,"Business Analytics,Cards Issuing",Gurgaon,B1,INS,(T) Enterprise Content Management (ECM),Account
March,4,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Java Development Technologies,Account
May,4,"Business Analytics,Cards Issuing",Bangalore,A4,BANK,(D) Capital Markets Sector,Account
March,4,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Mainframe Development Technologies,Account
March,1,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Operating systems and Virtualization Technologies,Account
August,2,"Business Analytics,Cards Issuing",Gurgaon,B1,INS,(F) IT Operations,Account
October,1,"Business Analytics,Cards Issuing",Bhubaneswar,B2,Cards,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
October,3,"Business Analytics,Cards Issuing",Bhubaneswar,B2,Cards,(T) Reporting/Business Intelligence,Proactive
June,2,"Business Analytics,Cards Issuing",Noida,A5,ADM,(T) Office / Desktop Solutions,Proactive
December,4,"Business Analytics,Cards Issuing",Hartford,C1,ERP,(T) Microsoft Development Technologies,Proactive
June,1,"Business Analytics,Cards Issuing",Noida,A5,I&D,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
January,3,"Business Analytics,Cards Issuing",Chennai,A1,DCX,(F) IT Operations,Proactive
October,1,"Business Analytics,Cards Issuing",Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Account
March,1,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Reporting/Business Intelligence,Proactive
August,3,"Business Analytics,Cards Issuing",Gurgaon,B1,GP,(T) Enterprise Content Management (ECM),Proactive
March,4,"Cards Acquiring,Vision Plus,VisionPlus CMS",Pune,A3,TEST,(T) Other Oracle ERP,Account
August,4,Agile,Gurgaon,B1,GP,(F) IT Operations,Proactive
June,1,Agile,Noida,A5,ADM,(F) IT Operations,Proactive
August,2,Agile,Gurgaon,B1,GP,(T) Capital market packages,Proactive
February,3,Agile,Hyderabad,A2,CFS,(F) Sales / CRM / Marketing / Offer/ Client Management / Customer Experience,Proactive
June,4,Agile,Noida,A5,ADM,(T) Mainframe Development Technologies,Proactive
